Objects
100
,,Global Angle collar:collar,,,,,,Global Angle head:head,,,,,,Global Angle left_elbow:left_elbow,,,,,,Global Angle left_hand:left_hand,,,,,,Global Angle left_shoulder:left_shoulder,,,,,,Global Angle right_elbow:right_elbow,,,,,,Global Angle right_hand:right_hand,,,,,,Global Angle right_shoulder:right_shoulder,,,,,,Global Angle hip:hip,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.017995,-0.014196,0.0508,-314.74881,-1632.504517,592.944458,-0.110778,-0.026264,-0.34116,-315.823334,-1811.834717,917.300842,-0.879786,-0.741782,-1.043175,-540.823914,-1669.769653,358.017761,0.026212,-1.424441,-0.742276,-571.183472,-1510.019165,140.544525,-0.10289,-0.039182,-0.055418,-433.795349,-1639.882935,576.920471,0.437987,-0.458525,-1.800069,-17.801083,-1703.594971,379.475891,0.158115,1.14307,0.626432,-17.492176,-1504.694092,195.303787,-0.269348,0.112973,0.117774,-150.852844,-1631.452271,588.754761,-0.124632,-0.077922,0.075427,-261.064728,-1592.366455,262.983154
2,0,0.013587,-0.014343,0.05155,-314.979065,-1632.476929,592.64978,-0.108013,-0.027715,-0.344213,-316.003754,-1811.454224,917.292114,-0.882218,-0.738926,-1.045313,-541.178284,-1669.536499,358.106384,0.026149,-1.429943,-0.740412,-571.251099,-1509.874756,140.505676,-0.106315,-0.039695,-0.056327,-434.027863,-1639.848145,576.681152,0.438461,-0.465455,-1.795065,-17.666513,-1703.251953,379.830048,0.156388,1.141831,0.626933,-17.492626,-1504.571167,195.361115,-0.295001,0.115038,0.114747,-151.187698,-1631.44104,588.536865,-0.130466,-0.07349,0.067387,-261.235046,-1593.206177,262.646362
3,0,0.012262,-0.015045,0.051285,-315.210083,-1632.454346,592.301086,-0.111,-0.026893,-0.341492,-316.449432,-1811.02356,917.152466,-0.88529,-0.737215,-1.049522,-541.568787,-1669.31543,358.214996,0.025157,-1.432118,-0.740287,-571.375793,-1509.766968,140.538025,-0.109977,-0.038503,-0.057244,-434.247986,-1639.841919,576.449585,0.417149,-0.447713,-1.783567,-17.683744,-1702.772095,379.500732,0.156541,1.14164,0.626702,-17.507282,-1504.467041,195.403564,-0.293161,0.113188,0.115247,-151.419113,-1631.390015,588.106323,-0.141336,-0.067941,0.060652,-261.445953,-1594.148071,262.303619
4,0,0.01739,-0.004909,0.045765,-315.395508,-1632.578369,591.683289,-0.112221,-0.027403,-0.337651,-316.790527,-1810.589478,917.135498,-0.888019,-0.732774,-1.050037,-541.914001,-1669.14563,358.276001,0.023476,-1.433436,-0.739004,-571.42572,-1509.670532,140.535355,-0.110436,-0.03928,-0.057231,-434.429016,-1639.859375,576.233093,-0.831558,0.576691,0.95569,-48.074978,-1693.479248,364.990814,0.155162,1.142436,0.626694,-17.465506,-1504.415405,195.518311,-0.294723,0.114523,0.116711,-151.68544,-1631.401123,587.756714,-0.154996,-0.060286,0.056767,-261.629547,-1595.120239,262.015076
5,0,0.013798,-0.005686,0.044905,-315.582245,-1632.622803,591.344604,-0.109319,-0.030956,-0.343563,-316.97937,-1810.130371,917.178467,-0.890284,-0.730188,-1.053675,-542.272827,-1669.028564,358.403259,0.024698,-1.425349,-0.737693,-571.575195,-1509.728516,140.720566,-0.114111,-0.039606,-0.057009,-434.635742,-1639.882568,576.006836,-0.832472,0.574187,0.954346,-47.891006,-1693.393433,365.206512,0.154373,1.142819,0.628016,-17.445423,-1504.371582,195.578964,-0.296603,0.113981,0.117516,-151.923553,-1631.478149,587.418518,-0.193609,-0.065068,0.064082,-261.808289,-1597.171387,260.973877
6,0,0.010929,-0.004498,0.043543,-315.779114,-1632.662964,591.016357,-0.112909,-0.028524,-0.33815,-317.412689,-1809.682251,917.035034,-0.892616,-0.729074,-1.058969,-542.625427,-1668.977417,358.549377,0.024221,-1.427655,-0.739906,-571.541382,-1509.641479,140.62767,-0.120257,-0.042456,-0.054383,-434.89856,-1639.912109,575.742371,-0.837608,0.571026,0.955034,-47.749474,-1693.242188,365.458771,0.15343,1.139241,0.6354,-17.285402,-1504.587036,195.704773,-0.29882,0.114256,0.118755,-152.127045,-1631.54895,587.124146,-0.15695,-0.074656,0.091536,-262.027466,-1599.691528,260.120667
7,0,0.009272,-0.003755,0.042075,-315.977264,-1632.632324,590.682678,-0.112652,-0.028854,-0.336752,-317.742523,-1809.252197,916.981934,-0.895809,-0.726784,-1.061742,-542.955017,-1668.959106,358.643433,0.021548,-1.423778,-0.737125,-571.657776,-1509.699219,140.816528,-0.122387,-0.038548,-0.055206,-434.936768,-1639.916138,575.497375,-0.82542,0.566189,0.950202,-47.565868,-1692.80249,365.690491,0.152888,1.138193,0.636286,-17.264803,-1504.541016,195.768387,-0.299779,0.114259,0.121032,-152.295624,-1631.647217,586.713074,-0.165424,-0.074474,0.090019,-262.223572,-1601.150879,259.621826
8,0,0.024458,-0.002312,0.034968,-316.164612,-1632.36792,590.049561,-0.113025,-0.029046,-0.337682,-318.072144,-1808.790894,916.887085,-0.900941,-0.721697,-1.059635,-543.248535,-1668.911011,358.595184,0.02097,-1.42236,-0.737712,-571.654053,-1509.720825,140.795197,-0.113538,-0.042856,-0.065642,-435.259033,-1639.863647,575.172729,-0.829296,0.562295,0.950958,-47.27449,-1692.709717,365.93573,0.151334,1.139767,0.637252,-17.19249,-1504.519531,195.849045,-0.30302,0.113411,0.120592,-152.516312,-1631.74707,586.263977,-0.167398,-0.075994,0.089601,-262.382233,-1602.674194,259.14209
9,0,0.00297,-0.002792,0.039964,-316.304413,-1632.761597,589.948669,-0.108076,-0.032986,-0.341825,-318.251801,-1808.369141,916.954407,-0.919659,-0.716629,-1.064884,-543.183411,-1669.096802,358.206573,0.024194,-1.424324,-0.738432,-571.620544,-1509.77356,140.638412,-0.133218,-0.040251,-0.053707,-435.322357,-1639.986938,574.94104,-0.845202,0.559591,0.961792,-47.01173,-1692.902832,366.120392,0.150449,1.139091,0.637653,-17.142582,-1504.539185,195.893448,-0.304383,0.115132,0.123664,-152.663574,-1631.905396,585.752869,-0.17239,-0.075095,0.087524,-262.558289,-1604.342285,258.581177
